lr,ag,lc,dc,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc1,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
L3,7,B,1600,B,g1,r13,g2,t9,0,-23,2,4.1,5,1,0,0,3,-2,5,7,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,123,-2.5,-2.5,-0.5,2,2,0.36,2,22.82,46.17,23.04,46.39,0,123,4.2
L2,7,B,1600,B,g1,r13,g2,t9,0,-23,0,4.1,5,1,0,0,4,2,3,7,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,102,-2.75,-1.75,-2.25,0.5,-0.5,0.01,4,23.49,47.56,24.06,48.13,0,123,6.6
L1,7,B,1600,B,g1,r13,g2,t9,0,-23,1,4.1,5,1,0,0,0,0,0,5,0,4,0,24.9,0,0,23.2,FALSE,TRUE,FALSE,FALSE,TRUE,ts,81,-7.75,-4.5,-1.5,6.25,3,0.87,1,22.4,46.22,22.97,46.79,0,123,8.7
L2,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,0,0,5,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,ts,81,-6.25,-4,-3.75,2.5,0.25,0.59,4,23.27,47.25,23.34,47.32,26.1,123,33
L3,5,B,1600,B,g1,r15,g3,t12,0,4,-3,6.9,9,1,0,0,-2,0,-6,5,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,ts,123,-1.5,-2.5,-7.75,-6.25,-5.25,-0.62,11,24.08,47.59,24.06,47.57,7.1,123,14
L1,5,B,1600,B,g1,r15,g3,t12,0,4,-2,6.9,9,1,0,0,0,0,1,7,0,0,0,0,0,0,22.2,FALSE,FALSE,FALSE,FALSE,TRUE,tc,18,-4,-4.5,-5,-1,-0.5,0.86,4,22.9,46.61,22.8,46.51,12.1,123,19
L3,7,B,1600,B,a4,r3,g4,t14,0,-38,-7,47,4,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,155,0.75,1.25,-1.25,-2,-2.5,-0.51,10,23.11,46.73,23.96,47.58,0,120,11
L1,7,B,1600,B,a4,r3,g4,t14,0,-38,-3,47,4,0,0,0,2,-1,-4,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,102,-0.25,0.06,-3.5,-3.25,-3.56,-0.34,12,23.51,47.7,24.46,48.65,0,120,79
L2,7,B,1600,B,a4,r3,g4,t14,0,-38,-6,47,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,gs,134,-2.25,-12.75,-60,-57.75,-47.25,-15.4,12,40.24,66.08,41.09,66.93,0,120,6.5
L1,5,B,1600,B,g1,r14,g1,t1,0,-22,1,6.6,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,81,-0.5,-0.5,-11.75,-11.25,-11.25,-0.81,12,24.71,49.13,25.25,49.67,0,118,4.1
L2,5,B,1600,B,g1,r14,g1,t1,0,-22,-2,6.6,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,92,-3,-1.75,-0.5,2.5,1.25,0.29,1,22.94,46.84,23.56,47.46,4.4,118,11
L3,5,B,1600,B,g1,r14,g1,t1,0,-22,2,6.6,8,1,0,0,-2,1,-2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,116,-1.25,-1.25,-1.75,-0.5,-0.5,-0.34,6,24.04,48.31,24.66,48.93,4.4,118,11
